RideID, DriverID, RiderID, StartLoc, EndLoc, FareAmount, TipAmount, UserRating, DriverRating, Date
1,3,1,NA,NA,10.43,2,4,4, 2001-07-01 00:00:00.000
2,10,2,NA,NA,35.68,4,5,3, 2001-08-01 00:00:00.000
3,5,3,NA,NA,22.12,2,4,1, 2001-09-01 00:00:00.000
4,4,4,NA,NA,18.45,0,3,1, 2001-10-01 00:00:00.000
5,8,5,NA,NA,10.65,0,3,1, 2002-07-01 00:00:00.000
6,2,6,NA,NA,4.34,5,5,5, 2002-07-02 00:00:00.000
7,3,3,NA,NA,35.43,0,1,1, 2002-07-03 00:00:00.000
8,1,10,NA,NA,13.11,1,3,2, 2002-07-04 00:00:00.000
9,1,1,NA,NA,10.54,3,4,3, 2003-07-01 00:00:00.000
10,1,8,NA,NA,46.78,0,1,1, 2003-07-02 00:00:00.000